Country,Year,MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Poland,2021,20421073.76,68909448.51,0
"Korea, Dem. Rep.",2021,38995.5,201695.91,0
Portugal,2021,5875639.72,25867565.59,0
Paraguay,2021,2273544.43,11362761.73,0
Occ.Pal.Terr,2021,5593.22,129506.02,0
French Polynesia,2021,15737.02,194066.61,0
Qatar,2021,17731316.46,80241891.15,0
Romania,2021,6127101.57,25276882.45,0
Russian Federation,2021,258887710.7,584221765.2,0
Rwanda,2021,408411.91,721647.33,0
Saudi Arabia,2021,166366145.7,246557341.4,0
Senegal,2021,1455211.93,5120162.21,0
"Serbia, FR",2021,10357495.58,41673399.73,0
Singapore,2021,72653997.75,290612505.1,0
South Georgia and the South Sa,2021,56.72,661.4,0
Saint Helena,2021,2905.61,40352.39,0
Solomon Islands,2021,14554.6,609801.13,0
Sierra Leone,2021,30445.93,1295981.58,0
El Salvador,2021,1647055.72,6012077.53,0
San Marino,2021,71471.28,293220.93,0
Somalia,2021,204116.19,481992.27,0
Special Categories,2021,2239893.45,55914678.02,0
Saint Pierre and Miquelon,2021,405.19,3833.13,0
South Sudan,2021,631666.59,654100.96,0
Sao Tome and Principe,2021,9194.12,50075.67,0
Sudan,2021,3882828.59,5143927.64,0
Suriname,2021,1971408.04,2345669.27,0
Slovak Republic,2021,14493835.76,23601348.44,0
Slovenia,2021,1571712.21,10899029.28,0
Sweden,2021,16808487.3,68925140.83,0.46
Eswatini,2021,1480870.76,1850893.21,0
Saint Maarten (Dutch part),2021,6427.04,19754.79,0
Seychelles,2021,29421.26,1030294.51,0
Syrian Arab Republic,2021,106929.96,568760.57,0
Turks and Caicos Isl.,2021,1441.81,6737.38,0
Chad,2021,4333552.09,4381027.63,0
Togo,2021,1152198.97,3384718.06,0
Thailand,2021,115538323.7,321763764.6,6.29
Tajikistan,2021,597635.17,1507585.35,0
Tokelau,2021,19840.29,31369,0
Turkmenistan,2021,789491.85,8510538.9,0
East Timor,2021,208988.16,302001.89,0
Tonga,2021,2905.1,12676.33,0
Trinidad and Tobago,2021,1784964.2,12010826.34,937.36
Tunisia,2021,4455246.04,28798727.11,0
Turkey,2021,74264700.48,282745139,0
Tuvalu,2021,261.47,13823,0
Tanzania,2021,3481008.75,7962066.45,0
